Observation,StateDate,Meal
27,Arkansas 08 September 1999,"Fried shrimp, garden salad, chocolate cake, grilled salmon (two of two executions this day)."
28,Arkansas 12 April 1999,"Two large cheeseburgers, one small supreme pizza, fried green tomatoes, onion rings and fries, one quart of buttermilk, pecan pie."
29,Arkansas 16 February 1999,"Large double cheeseburger with mustard, pickles, tomato, lettuce and onion, jalapeno peppers, large Coke with ice, raisin pie."
30,Arkansas 08 July 1998,"Cheeseburger with lettuce, tomato, onions, and mayonnaise, french fries with ketchup, peach cobbler, and tea with sweetener and ice."
31,Arkansas 06 August 1997,"Large supreme pizza, banana pudding with meringue topping, root beer, peanut M&Ms."
32,Arkansas 08 January 1997,"Fried chicken, rice with gravy, pinto beans, turnip greens, hot rolls, milk (one of two executions this day)."
33,Arkansas 08 January 1997,"Caesar salad, seedless grapes, crackers, breadsticks, coffee (two of two executions this day)."
34,Arkansas 08 August 1996,"Beef tacos, spanish rice, refried beans, cheese enchilada, sliced avocado, corn tostado chips, onion and jalape<f1>o pepper, Coke."
35,Arkansas 19 April 1995,"Fried crappie, two large onions, large green salad, blue cheese or Roquefort cheese dressing, hush puppies, buttermilk."
36,Arkansas 31 August 1995,"Fried chicken, macaroni and tomatoes, mixed greens, pinto beans, sliced bread and milk."
37,Arkansas 03 August 1994,"2 lbs. shrimp <U+0096> deep fried, french fries (without peelings) and ketchup, Dr. Pepper and banana pudding (one of three Arkansas executions this date)."
38,Arkansas 03 August 1994,"8 oz. hickory smoked sausage (beef), 8 oz. cracker barrel cheese mild or sharp (Kraft), a Wendy<U+0092>s dbl cheeseburger with pickles, onions, lettuce & mayo, French fries, ketchup, a Kosher dill pickle, an onion, Coke classic & Breyers viennetta ice cream/cake combo (two of three Arkansas executions this date)."
39,Arkansas 03 August 1994,"Porterhouse steak (rare), extra sharp cheese, salad with blue cheese dressing, and root beer (three of three Arkansas executions this date)."
40,Arkansas 11 May 1994,"Sirloin steak, french fries, fruit salad, Pepsi, ketchup (one of two executions on this date)."
41,Arkansas 11 May 1994,"Barbecue pork spare ribs, french fries, small box of Velveeta cheese, artichokes (2), coke (1 large bottle), chocolate cake, vanilla ice cream, light bread and ketchup, (4 fries), Miracle Whip (two of two executions this date)."
42,Arkansas 07 May 1992,"Fresh chef<U+0092>s salad with ranch dressing, mashed potatoes with butter, porterhouse steak (medium well), 4-1 steak sauce, Worcestershire sauce, lemon meringue pie, 1 quart buttermilk."
43,Arkansas 24 January 1992,"Fried steak (well done), baked chicken with gravy, brown beans, pecan pie, cherry Kool-Aid."
44,Arkansas 25 June 1990,"1 filet mignon steak (well done), 2 medium raw onions, sliced, 2 tomatoes, sliced, 6 rolls, 6 slices cheese, 1 banana, 2 7-up<U+0092>s."
45,Arkansas 18 June 1990,"Barbecue chicken, rice & gravy, pinto beans, fresh early June peas, fresh squash, peaches, hot rolls, tea."
46,Arizona 26 October 2010,"Steak, fried okra, french fries, strawberry ice cream and a Dr. Pepper."
47,Arizona 23 May 2007,"Final meal request of fried okra, four buns with lots of butter, lots of salt (lots) and two slices of banana bread."
48,Arizona 08 November 2000,"2 guacamole tostadas, 2 tacos, 1 strawberry malt, 1 Dr. Pepper, 1 lemon meringue pie, 5 jalapenos, 1 lemon, 1 lime, 1 quart strawberry ice cream."
49,Arizona 16 February 2000,"2 eggs (over easy), 4 slices of bacon, coffee, 1 pint vanilla ice cream, 1 can of peaches, strawberry jam."
50,Arizona 27 October 1999,"2 fried eggs, 4 ounces of Pace hot sauce, 4 strips of bacon, 12 ounce sirloin steak, 10 ounces of French fries, 3 ounces ketchup, 1 pint vanilla ice cream, 1 pint milk, 1 cup hot coffee."
51,Arizona 16 June 1999,"3 fried eggs (sunny side up), 4 slices bacon, hash brown potatoes, 2 slices whole wheat toast, butter, 2 serving size boxes of Raisin Bran cereal, 2 cartons milk, 2 cups of Taster's Choice coffee."
52,Arizona 05 May 1999,"Green Chili burros, burritos with barbecued steak, French fries and ketchup, vanilla ice cream, cream soda, cigarette."
53,Arizona 03 March 1999,"Six fried eggs, cooked over-easy, 16 strips of bacon, one large portion of hash-browns, one pint of pineapple sherbet ice cream, one <U+0093>breakfast steak<U+0094> well done, one 16-ounce cup filled with ice, one 7-Up, 1 Dr. Pepper, 1 Coke, one portion of hot sauce, one cup of coffee, two packets of sugar and four Rolaid tablets."
54,Arizona 24 February 1999,"2 Bacon, lettuce and tomato sandwiches on white bread, Mayonnaise, 4 fried eggs (over-easy), Medium portion of hash-brown potatoes, 2 breakfast rolls, small portion of strawberry jelly, One half pint of pineapple sherbet ice cream, one 22 ounces of hot coffee (black), one medium slice of German chocolate cake with coconut-caramel icing, one 12 ounce cup of cold milk."
55,Arizona 03 February 1999,"New York steak cooked medium rare, Worcestershire sauce, 2 eggs, 8 strips bacon, 2 slices bread toasted w/butter, 1?2 pint peppermint ice cream, 16 ounces apple juice."
56,Arizona 13 January 1999,"New York steak (cooked rare), 1 1?2 cups of sliced mushrooms, 2 eggs, 10 strips of bacon, 2 slices wheat toast w/butter, 3 tablespoons strawberry preserves, 8 ounces milk, 8 ounces apple juice, 32 ounce chocolate milkshake."
57,Arizona 03 June 1998,"6 Fried eggs (over easy), 4 strips of bacon (chewy), 2 slices of white bread toast (buttered),1 cup of real coffee 2 Classic Cokes (over ice)."
58,Arizona 29 April 1998,"3 Grilled cheese & fried egg sandwiches, macaroni & cheese (lots), pint of mint chocolate chip ice cream, 2 cans of Pepsi."
59,Arizona 22 April 1998,"1 Broiled chicken, 9 corn tortillas, 2 tomatoes, 1 can of jalapenos, 2 cans of Pepsi, 1 plate of rice (4 oz)."
60,Arizona 21 January 1998,"2 Red Chili Beef burritos, 2 cans Coke Classic, 1 slice cherry pie."
61,Arizona 25 June 1997,"16 oz. top sirloin steak (medium rare), french fries, 1 dozen deep-fried butterfly shrimp, 1 whole cherry cheesecake, 1 case Pepsi, 1 pot coffee."
62,Arizona 23 January 1997,"Cheeseburger, fries, coffee with milk."
63,Arizona 22 August 1996,"2 Beef burritos, 2 pork chops, French fries (big order), jalapenos (a few)."
64,Arizona 13 September 1995,"10 ounce steak, peas, rolls with butter, 1 baked potato with shredded Cheddar cheese, strawberry pie with whipped cream, large chocolate malt."
65,Arizona 14 April 1993,"Porter House Steak (medium rare), 2 lbs of large shrimp and sauce, A-1 steak sauce, baked potato with sour cream, cole slaw, banana cream pie, rice pudding with raisins, 2 dinner rolls with butter, and a strawberry milkshake."
66,Arizona 03 March 1993,"3 Grilled Pork Chops with gravy, 1/4 lb. bacon, 6 fried breaded shrimp, beef Rice-a-Roni, 2-3 slices French Bread with butter, applesauce, 2 cans Canada Dry Ginger Ale with ice, 1 slice coconut cream pie, 1 pint orange juice, 1 can chicken noodle soup with crackers, 1 can pear halves with syrup, Maxwell House Coffee with cream and sugar."
67,Arizona 06 April 1992,"Several fried eggs, several strips of bacon, toast, butter, honey and orange juice."
68,California 17 January 2006,"Had a last meal of buffalo steak, a bucket of KFC white-meat-only chicken, sugar-free pecan pie, sugar-free black walnut ice cream, Indian pan-fried bread and whole milk  (ice cream was left out one hour to thaw, and turned into a milkshake by hand)."
69,California 13 December 2005,No final meal request. Ate only oatmeal.
70,California 29 January 2002,"2 grilled cheese sandwiches, pint of cottage cheese, hominy, piece of peach pie, pint of chocolate ice cream, radishes."
71,California 27 March 2001,"2 vanilla milkshakes, extra crispy French fries, extra crispy fried oysters, soft drinks."
72,California 15 March 2000,"Tea, broth, Gatorade."
73,California 13 July 1998,"Alaskan King crab with butter, spinach salad, pork fried rice, Mandarin-style spare ribs, hot fudge sundae, a six-pack of Coca Cola."
74,California 03 May 1996,"Fried pork chops, baked potato with butter, asparagus, salad with bleu cheese dressing, apple pie, whole milk."
75,California 23 February 1996,"2 large pepperoni and sausage pizzas, 3 pints of coffee ice cream, 3 six-packs of Coca Cola."
76,California 24 August 1993,Ice water.
77,California 21 April 1992,"2 large pizzas, a bucket of fried chicken, ice cream."
78,Colorado 13 October 1997,Vanilla and chocolate ice cream.
79,Delaware 19 April 1996,"Crab cakes with tartar sauce and cocktail sauce, fried potatoes, asparagus, rolls and butter, apple pie."
80,Delaware 30 January 1996,"Fried chicken, French fries with ketchup, corn, dinner rolls and butter, apple pie."
81,Delaware 25 January 1996,"Steak (well done with steak sauce), baked potato with butter and sour cream, rolls and butter, peas, vanilla ice cream."
82,Delaware 14 March 1992,"Steak (medium rare), crab cake, corn on the cob, French fries, bread and butter, Pepsi."
83,Florida 15 November 2011,"Requested two salami sandwiches on white bread, one peanut butter and jelly sandwich and coffee."
84,Florida 28 September 2011,"Fried chicken breast, white rice, garlic toast, peach cobbler and a Coca-Cola."
85,Florida 16 February 2010,"Ordered peanut butter and banana cookies from the canteen with an ice tea, then added a chicken sandwich and substituted fruit punch. He finished the entire last meal."
86,Florida 19 August 2009,"BLT sandwich, berries with whipped cream, french fries, onion rings and a Dr Pepper."
87,Florida 11 February 2009,"Fried chicken, banana split ice cream and some water (meal consumed using only the single spoon allowed by the state)."
88,Florida 23 September 2008,"Two fried-chicken breasts, turkey sausage, fried rice, prison-made chocolate-chip cookies and Coca-Cola."
89,Florida 25 October 2006,"Lobster tail, butterfly shrimp, a baked potato, strawberry cheesecake and sweet tea. A prison official reported, ""He enjoyed his last meal. He ate every bite."""
90,Florida 18 October 2006,"A second final meal request of fried catfish, fried green tomatoes, fried eggplant, hush puppies and sweet tea. (same meal in January when U.S. Supreme Court stopped the execution at the last minute)."
91,Florida 20 September 2006,"No special last meal and refused a meal that included tacos, beans, a tossed salad and apple crisp."
92,Florida 09 October 2002,"Hamburger, cup of coffee."
93,Florida 11 January 2001,"New York steak, fried shrimp, French fries, green beans, steak sauce, Coca Cola, Heavenly Hash ice cream."
94,Florida 07 December 2000,"T-bone steak, fried shrimp, fried potatoes, onion rings, fried tomatoes, ketchup, soy sauce, Heavenly Hash ice cream, Coca Cola."
95,Florida 25 August 2000,"Fried won ton, Hong tea beef, Thai sweet and sour chicken, chicken fried rice, 3 bananas, 1 orange, 1 apple, sliced fruit, 1 water pitcher, 1 container Thai hot sauce, tea."
96,Florida 21 June 2000,"1/2 cup turkey/chicken salad, 1/2 cup macaroni salad, 1/2 cup coleslaw, 3 slices of bread, 1 cookie, 1 cup of tea."
97,Florida 07 June 2000,"Vanilla ice cream, Coke, 1 quart whole milk, BBQ chicken, BBQ beef, French fries, salad, Spanish rice, rolls, Pepsi, cherry vanilla ice cream, butter pecan ice cream, mango, banana pudding."
98,Florida 24 February 2000,"Fish, asparagus, pie, Coca Cola."
99,Florida 23 February 2000,"Grouper, French fries, chef salad with tomato, blue cheese dressing, Coca Cola, Boston cream pie."
100,Georgia 21 September 2011,"Refused to request a meal and asked to have the same meal as the other inmates - a cheeseburger, slaw, baked beans, potatoes and cookies."
101,Georgia 25 January 2011,"Fried chicken, French fries, corn on the cob, jalapeno peppers, mint chocolate chip ice cream and cherry limeade."
102,Georgia 27 September 2010,"Did not request a final meal and received the standard meal tray being served at the prison. The final meal consisted of a chili dog, tater tots, carrots, cole slaw, a slice of cake, and fruit punch."
103,Georgia 09 June 2010,"Fried fish and shrimp, a baked potato, salad, boiled corn, ice cream, cheesecake and soda."
104,Georgia 20 October 2009,Had no final meal request.
105,Georgia 29 April 2009,"Steak, fried chicken breast, baked potato, salad, garlic bread, a pint of butter pecan ice cream, half of a pecan pie and soda."
106,Georgia 16 September 2008,"Did not make a final meal request, and was given the regular prison fare of baked fish, peas, cole slaw, carrots, cheese grits, bun, fruit juice and chocolate cake."
107,Georgia 26 June 2007,"Four fried pork chops, collard greens with boiled okra and ""boiling meat"", fried corn, fried fatback, fried green tomatoes, cornbread, lemonade, one pint of strawberry ice cream and three glazed donuts."
108,Georgia 12 March 2002,"Steak, baked potato, corn, salad, milkshake, ice cream."
109,Georgia 24 January 2002,"3 cheeseburgers, chili, French fries, milkshake, pickles."
110,Georgia 11 December 2001,Made no last meal request.
111,Georgia 15 November 2001,"1 small pizza, 1 fried chicken breast, 1 slice of apple pie with ice cream, 2 soft drinks."
112,Georgia 06 November 2001,"Three whoppers with cheese, 2 extra crispy chicken breasts, large French fry, 2 slices whole wheat bread, 2 soft drinks, and a slice of navy bean pie."
113,Georgia 25 October 2001,"Fried shrimp, baked potato, a pint of chocolate ice cream, and 2 soft drinks."
114,Georgia 14 November 1996,"Fried Channel catfish, coleslaw, hushpuppies, French fries, catsup, tartar sauce, hot sauce, vanilla pudding, and sweet tea or coke."
115,Georgia 13 November 1996,"Strawberries, grapes, peaches, plums, and vanilla malt."
116,Georgia 07 April 1995,"Quart of strawberries, 2 bacon, lettuce and tomato sandwiches, a glass of milk."
117,Georgia 31 March 1994,"Burritos w/ Spanish sauce, Spanish rice, creamed corn, tossed salad w/ dressing, peach crisp, iced tea."
118,Idaho 18 November 2011,"Chose the prison's ""daily special"" of hot dogs, sauerkraut, baked beans, veggie sticks with ranch dressing, and gelatin with fruit--although the prison chef did add strawberry ice cream as a special treat."
119,Idaho 06 January 1994,"Prime rib, lobster, 2 pints of black walnut ice cream, rolls, 1/2 gallon milk, 2 liter bottle of Coca Cola."
120,Illinois 21 January 1998,Coke Classic and Camel.
121,Illinois 19 November 1997,"Southern fried pork chops, Tabasco sauce, candied yams, black-eyed peas, string beans, pan fried hot water cornbread patties, peach cobbler, orange papaya juice."
122,Illinois 18 September 1996,"Fried perch, potato salad, Cole slaw, peaches."
123,Illinois 22 November 1995,"Filet mignon (medium well) with mushrooms, shellfish, baked potato, sour cream, brussel sprouts, salad with Italian dressing, corn on the cob, pistachio ice cream, cannoli."
124,Indiana 11 December 2009,"Prime rib with a ""loaded"" baked potato, pork chops with steak fries, two salads with ranch dressing and rolls."
125,Indiana 05 May 2007,Pizza and birthday cake shared with 15 family members and friends. A prison official said <U+0093>He told us he never had a birthday cake so we ordered a birthday cake for him.<U+0094>
126,Indiana 27 January 2006,"Shrimp, mushrooms and deep-fried onions appetizers, New York strip steak, a chicken breast, baked potato, salad, and 7-Up soft drink."
127,Indiana 28 September 2005,"Chicken wings, a fried chicken dinner, large wedges of potatoes, corn on the cob, biscuits and a chocolate shake."
128,Indiana 14 March 2001,German ravioli and chicken dumplings prepared by his mother and prison dietary staff.
129,Indiana 20 November 1997,"Steak, lobster salad with blue cheese and thousand island dressing, baked potato with sour cream, strawberry cheesecake, 2 espressos."
130,Kentucky 21 November 2008,"Final meal request of a medium rare 32-ounce steak, shrimp, salad and banana creme pie."
131,Kentucky 25 May 1999,"Bacon, lettuce and tomato sandwich."
132,Kentucky 01 July 1997,Cheesecake.
133,Louisiana 07 January 2010,"Fried sac-a-lait fish, topped with crawfish etouffee, a peanut butter and apple jelly sandwich and chocolate chip cookies."
134,Louisiana 10 May 2002,"Boiled crawfish, crawfish stew, toasted French bread, garden salad with Italian dressing, banana nut oatmeal cookies, and whole milk with chocolate syrup."
135,Louisiana 08 January 1999,"Snickers candy bars, Baby Ruth candy bars, Hershey candy bars, Chocolate ice cream, coconut pie, lemon pie, Cokes."
136,Louisiana 23 April 1997,"Broiled crawfish, crackers, salad with lettuce, tomatoes, onion and French dressing, malt, Neapolitan ice cream."
137,Massachusetts 23 August 1927,"Soup, beef, toast and tea provided (one of three executions this date)."
138,Massachusetts 23 August 1927,"Soup, beef, toast and tea provided (two of three executions this date)."
139,Massachusetts 23 August 1927,"Soup, beef, toast and tea provided (three of three executions this date)."
140,Maryland 17 July 2004,"Had the regular prison fare of a chicken patty, potatoes and gravy, green beans, marble cake, milk, and fruit punch."
141,Mississippi 21 July 2010,Made no request for a last meal and ate turkey and roast beef sandwiches.
142,Mississippi 20 May 2010,"Medium-rare steak cooked with onion and garlic; a baked potato with cream cheese, bacon bits and chives; salad with bleu cheese dressing; Brussels sprouts with jalapeno cheese sauce; apple pie and a 1-liter Pepsi."
143,Mississippi 19 May 2010,"Hamburger (grilled, well done, seasoned with salt & pepper) on a real bun with mustard, mayonnaise, lettuce, tomato, onion and dill pickle, French fries with salt, fried onion rings, a bowl of chili without beans, a pint of vanilla ice cream and two 20oz. root beers. Ate everything <U+0093>except a few of his French fries.<U+0094> The inmate had been <U+0093><U+0085> saving room for his last meal,<U+0094> said the warden."
144,Mississippi 18 October 2006,"Two dozen jumbo fried shrimp with tarter sauce and ketchup, two large orders of fried onion rings and french fries, one raw regular onion, six pieces of garlic bread, two cold 32 oz. Cokes, two 32 oz. strawberry milkshakes (same as his June 2006 final meal)."
145,Mississippi June 2006,"Two dozen jumbo fried shrimp with tarter sauce and ketchup, two large orders of fried onion rings and french fries, one raw regular onion, six pieces of garlic bread, two cold 32 oz. Cokes, two 32 oz. strawberry milkshakes (date unknown: granted stay and had a second identical final meal on 18 October 2006)."
146,Mississippi 11 December 2002,Ate nothing.
147,Mississippi 23 July 1947,Served fried chicken and watermelon (one of two executions on this date: age 15).
148,Mississippi 23 July 1947,Served fried chicken and watermelon (two of two  executions on this date: age 16).
149,Missouri 09 February 2011,"Sausage and pepperoni pizza, lasagna, garlic bread, a chef<U+0092>s salad, New-York-style cheesecake, a strawberry shake and Dr. Pepper."
150,Missouri 20 May 2009,"Double-bacon cheeseburger, fries and a slice of cheesecake."
151,Missouri 06 February 2002,"12 ounce New York strip steak, 1 order of jumbo shrimp, 1 slice of cheesecake."
152,Missouri 09 January 2002,"Steak, French fries, salad with Thousand Island dressing."
153,Missouri 24 October 2001,"12 ounce T-bone steak, pork tenderloin sandwich, bacon, lettuce and tomato sandwich, French fries, orange juice, butter pecan ice cream."
154,Missouri 03 October 2001,"Steak, shrimp, fried mushrooms, fried cheese sticks, grape juice, butter pecan ice cream."
155,Missouri 12 July 2001,"Scrambled eggs, toast, milk and coffee."
156,Missouri 25 April 2001,"2 baloney and cheese sandwiches with mayonnaise on white bread, orange drink."
157,Missouri 28 March 2001,"Sirloin steak, butterfly shrimp, French fries, corn, rolls, coffee, chocolate shake."
158,Missouri 07 February 2001,"2 Reuben corn beef sandwiches, French fries."
159,Missouri 15 November 2000,"2 orders of butterfly shrimp, 2 orders of French fries, apple pie, chocolate cake, soda."
160,Missouri 30 August 2000,"12 ounce T-bone steak (medium rare), Caesar salad, double order onion rings, 20 ounces of Diet Coke."
161,Montana 11 August 2006,"Two double cheeseburgers, two large servings of French fries, a half a gallon of vanilla fudge ripple ice cream, and two bottles of Dr. Pepper."
162,Montana 24 February 1998,"Kentucky Fried Chicken, mashed potatoes, biscuits, banana split, and pop."
163,Montana 10 May 1995,"Tenderloin, French fries, tossed salad with dressing, orange sherbet, and milk."
164,Montana 16 February 1917,One apple.
165,Nebraska 17 July 1996,"Pizza, garlic bread, lettuce salad, Catalina dressing, strawberry cheesecake, coffee, and tea."
166,New Mexico 06 November 2001,Shrimp and ice cream.
167,Nevada 26 April 2006,"A fish fillet sandwich, french fries and a lemon-lime soft drink."
168,Nevada 26 March 2004,"Grilled cheeseburger with onion, pickle and tomatoes, French fries, 3 slices of cheese, pepperoni pizza, 3 pints of vanilla, chocolate and chocolate chip ice cream, 20 ounce Coke, 20 ounce Pepsi, and fruit including an apple, banana and orange. Smoked a lot of cigarettes prior to execution."
169,New York 15 August 1963,A pack of Pall Malls.
170,North Carolina 18 August 2006,"Popcorn shrimp, hush puppies, french fries and a Coke."
171,North Carolina 21 April 2006,"Well-done T-bone steak, rice, four rolls with butter and German chocolate cake."
172,North Carolina 17 March 2006,"Turkey with dressing, tossed salad with blue cheese dressing, strawberry cheesecake and a Coke."
173,North Carolina 20 January 2006,"McRib sandwich from McDonald's, a double cheeseburger from Wendy's, macaroni and cheese, cheesecake and a Pepsi."
174,North Carolina 30 November 2001,"Two Wendy's Single Cheeseburgers with lettuce, tomato, mustard and ketchup, large fries, 1 Pepsi, large Frosty."
175,North Carolina 12 October 2001,"T-bone steak (well done), tossed salad with French dressing, French fries, Texas toast, ice tea."
176,North Carolina 31 August 2001,"2 Arby's Roast Beef Sandwiches, fresh fries, 1 hamburger, Pepsi, and 1 pint chocolate ice cream."
177,North Carolina 30 January 1998,One Honey Bun.
178,Ohio 15 November 2011,"Lasagna, chili-cheese fries, garlic bread, moose-tracks ice cream, chocolate cake, caramel candy, beef jerky, cashews, almonds and root beer."
179,Ohio 10 March 2011,No <U+0093>special meal<U+0094> request.
180,Ohio 17 February 2011,"Spaghetti with tomato sauce but no meat, salad, chocolate cake and coffee with cream and sugar."
181,Ohio 06 October 2010,"A large chef salad with ham, turkey and bacon bits, bleu cheese and ranch dressing, barbecue baby back ribs, two cans of cashews and two bottles of iced tea."
182,Ohio 10 August 2010,Fasted until sundown then served a vegetarian meal and several cups of coffee.
183,Ohio 13 July 2010,"A porterhouse steak, fried shrimp, barbecued chicken and ribs, a large salad, potato wedges, onion rings, sweet potato pie, chocolate ice cream and Hawaiian Punch to drink."
184,Ohio 13 May 2010,"Normal prison dinner of chicken a la king, mashed potatoes and lima beans."
185,Ohio 20 April 2010,Declined.
186,Ohio 16 March 2010,"Porterhouse steak, pork chops and jumbo fried shrimp."
187,Ohio 04 February 2010,"Steak, onion rings with ketchup, a double bacon cheeseburger with french fries, cake, ice cream, potato chips and a two-liter bottle of orange soda. It was reported that he finished most of the meal, but did not touch the steak."
188,Ohio 07 January 2010,"After fasting from sunrise to sunset, had a meal of whole and chopped dates and hot tea with lemon and honey. Requested and received olive oil to groom his beard and a ""miswak"" stick (in Islamic tradition, dates are consumed after a fast, and <U+0093>miswak<U+0094> for cleaning teeth)."
189,Ohio 08 December 2009,"Cheese pizza, onion rings, fried mushrooms, chips with French onion dip, cherry pie, blueberry ice cream and a Dr. Pepper."
190,Ohio 21 August 2009,"Porterhouse steak with A-1 sauce, a pound of jumbo fried shrimp with cocktail sauce, french fries and onion rings with ketchup, dinner rolls and butter, two plums, a mango, a pound of seedless white grapes, German chocolate cake, two bottles of Pepsi and two bottles of A&W cream soda."
191,Ohio 18 August 2009,"Ribeye steak, cooked medium rare with A-1 sauce on the side, hot barbecued chicken wings and onion rings with ketchup, fried mushrooms with marinara sauce, a chef salad with ranch dressing, pecan pie with vanilla ice cream and two types of soda pop."
192,Ohio 14 July 2009,"Two eggs sunny-side up, fried potatoes, two pieces of fried bologna, four pieces of wheat bread, two pieces of wheat toast with butter, four slices of tomato, a side of lettuce and mayonnaise, two Three Musketeers candy bars and two packages of Reese's Peanut Butter Cups."
193,Ohio 03 June 2009,"Well-done porter house steak with steak sauce, a baked potato with sour cream and bacon bits, salad with lettuce, cucumbers, tomatoes, radishes, green peppers, carrots and French dressing, corn on the cob with butter, grapes, macaroni and cheese, dinner rolls and Cool Ranch Doritos with a jar of salsa, strawberry ice cream and strawberry cheesecake<U+0097>both with real strawberries, a 2-liter of Dr. Pepper with ice and one tea bag."
194,Ohio 19 November 2008,"Three pieces of fried chicken, spaghetti with meat sauce, potato salad, cherry pie with strawberry ice cream and a cola."
195,Ohio 14 October 2008,"T-bone steak with A1 sauce, french fries and onion rings, four eggs over easy, hash browns, buttered toast, bear claw pastries, a pint of Rocky Road ice cream and Mountain Dew."
196,Ohio 24 May 2007,"Steak, asparagus, brussels sprouts, feta cheese, a soft drink, cake and watermelon."
197,Ohio 24 April 2007,"T-bone steak cooked medium well with A1 Steak Sauce; potato and cheese pirogies with chopped onions; baked potato with sour cream and butter; dinner rolls with butter; fresh broccoli; cauliflower, celery, carrots and cherry tomatoes with ranch dressing; strawberry milk; strawberry cheesecake."
198,Ohio 24 October 2006,"Turkey, potatoes and gravy, a salad and pumpkin pie."
199,Ohio 08 August 2006,"Three t-bone steaks cooked medium rare, two breaded chicken breasts with a side of ranch dressing, chocolate ice cream and Mountain Dew."
200,Ohio 12 July 2006,"Ate all of the ""special meal"" of pork chops, gravy, hash browns, biscuits and Pepsi, but saved the cherry pie for breakfast. Awoke at 4:47 a.m., and ate a regular prison breakfast of two hard boiled eggs, Cream of Wheat, grapefruit, toast and orange juice, and the left-over pie."
201,Ohio 02 May 2006,Jumbo shrimp; a T-bone steak with A-1 steak sauce; fried chicken wings; french fries; dinner rolls; cherry pie; and Pepsi.
202,Ohio 07 February 2006,"Four bacon cheeseburgers on toasted buns, with green peppers, tomatoes, pickles, ketchup, mustard and mayonnaise; a baked potato with butter and sour cream; french fries; onion rings; macaroni and cheese; chef salad with creamy Italian dressing; blueberry pie with chocolate ice cream; iced tea; and a Coke."
203,Ohio 27 September 2005,"Ate all of the special meal of two cheeseburgers with lettuce and mayonnaise and french fries with ketchup, and drank one Dr. Pepper and one Mountain Dew."
204,Ohio 14 January 2004,God<U+0092>s word.
205,Ohio 19 February 2002,"Steak (rare), salad, grape pop."
206,Ohio 14 June 2001,"Fish sandwich, fries, Pepsi."
207,Ohio 19 February 1999,"Spaghetti, salad, strawberry shortcake, pop."
208,Oklahoma 05 January 2012,"Fried fish fillets with red cocktail sauce from Long John Silver's, but abstained from any  side dishes."
209,Oklahoma 11 January 2011,"A deep dish meat lover<U+0092>s pizza, deep fried jumbo shrimp and two hush puppies with vinegar sauce."
210,Oklahoma 06 January 2011,A large pepperoni and Italian sausage pizza and a large Dr. Pepper from Pizza Hut.
211,Oklahoma 19 December 2010,"A double-cheeseburger with mayonnaise, a foot-long cheese Coney with mustard and extra onions, a cherry limeade and a banana shake."
